"","Day_1","Day_10","Day_30","Day_60"
"01001",1,10,32,149
"01003",1,3,71,227
"01005",1,10,43,173
"01007",2,9,42,71
"01009",1,9,31,49
"01011",2,2,12,111
"01013",1,1,19,335
"01015",1,3,63,130
"01017",1,17,236,328
"01019",1,5,12,33
"01021",1,15,47,86
"01023",1,4,25,141
"01025",2,13,32,142
"01027",1,8,19,27
"01029",1,7,12,13
"01031",3,20,117,236
"01033",1,5,22,125
"01035",1,3,9,39
"01037",2,6,29,33
"01039",2,4,32,67
"01041",1,2,10,58
"01043",1,7,42,69
"01045",1,6,27,110
"01047",2,7,29,191
"01049",1,13,61,221
"01051",1,6,30,152
"01053",1,3,22,43
"01055",3,21,120,228
"01057",1,1,5,13
"01059",1,3,18,411
"01061",1,4,15,46
"01063",1,6,44,91
"01065",1,7,41,151
"01067",2,11,26,80
"01069",1,9,73,154
"01071",1,5,38,64
"01073",2,71,579,1131
"01075",1,1,8,15
"01077",1,12,23,115
"01079",1,4,12,41
"01081",1,26,250,436
"01083",1,1,36,57
"01085",1,3,36,186
"01087",1,6,34,67
"01089",1,43,194,274
"01091",1,8,39,133
"01093",1,9,61,106
"01095",1,17,258,645
"01097",1,34,627,1701
"01099",1,5,12,34
"01101",1,3,106,642
"01103",2,22,50,144
"01105",2,9,18,47
"01107",1,11,44,88
"01109",1,10,57,130
"01111",1,11,60,124
"01113",1,4,54,125
"01115",1,6,49,88
"01117",2,27,230,381
"01119",1,17,55,213
"01121",1,4,40,78
"01123",1,14,228,384
"01125",1,7,100,284
"01127",1,28,83,126
"01129",1,4,15,61
"01131",1,6,52,113
"01133",2,3,10,67
"02020",1,5,112,194
"02050",1,1,1,3
"02090",2,11,79,85
"02110",1,10,26,30
"02122",1,5,15,24
"02130",1,11,15,16
"02150",1,1,1,4
"02170",2,4,19,22
"02180",1,1,1,5
"02195",1,1,3,3
"02198",1,2,2,2
"02220",1,1,1,14
"02240",1,1,1,3
"02290",1,1,1,1
"04001",3,17,178,1023
"04003",1,4,24,46
"04005",1,41,299,839
"04007",1,3,11,24
"04009",1,2,2,20
"04011",1,1,2,4
"04012",2,2,8,50
"04013",1,1,1,251
"04015",2,12,73,304
"04017",1,43,390,1177
"04019",1,5,415,1465
"04021",1,5,89,468
"04023",1,2,15,75
"04025",1,13,69,262
"04027",1,9,24,405
"05001",1,1,2,3
"05003",1,5,13,19
"05005",1,3,5,7
"05007",1,29,62,149
"05009",1,1,3,4
"05011",1,4,7,15
"05015",1,2,5,24
"05017",1,2,7,13
"05019",1,18,27,35
"05021",1,1,3,5
"05023",1,41,70,72
"05025",1,4,8,15
"05027",1,2,5,20
"05029",1,3,7,14
"05031",1,4,40,140
"05033",1,3,4,12
"05035",1,15,127,234
"05037",1,3,9,42
"05039",1,1,1,3
"05041",1,2,6,18
"05043",1,3,10,19
"05045",1,28,59,91
"05047",1,1,2,4
"05049",1,1,6,9
"05051",2,11,102,121
"05053",1,3,11,16
"05055",1,3,6,24
"05057",1,3,5,14
"05059",1,5,8,29
"05061",2,4,13,16
"05063",1,3,7,25
"05065",1,2,10,17
"05067",1,1,1,14
"05069",1,19,91,226
"05071",1,11,29,38
"05073",1,2,8,9
"05075",1,3,29,81
"05077",1,2,3,19
"05079",1,4,56,949
"05083",1,2,2,11
"05085",4,15,31,46
"05087",1,1,1,50
"05089",1,1,1,2
"05091",1,20,33,42
"05093",1,7,20,75
"05095",1,1,4,5
"05099",1,1,1,5
"05101",1,1,3,3
"05103",1,5,7,10
"05105",1,2,6,14
"05107",1,4,6,24
"05109",1,2,3,4
"05111",1,3,10,26
"05113",1,2,7,8
"05115",1,3,33,73
"05117",1,2,2,2
"05119",5,28,236,627
"05121",2,3,15,26
"05123",1,31,82,660
"05125",1,4,32,76
"05127",1,1,1,1
"05129",1,4,6,6
"05131",1,4,11,16
"05133",1,1,8,28
"05135",1,2,9,46
"05137",2,5,7,8
"05139",1,10,28,144
"05141",1,17,26,28
"05143",1,13,44,141
"05145",4,22,29,37
"05147",1,1,1,1
"05149",1,1,6,183
"06001",1,25,304,1589
"06003",1,2,1,2
"06005",1,1,6,8
"06007",1,8,16,26
"06009",2,3,12,13
"06011",1,2,3,5
"06013",1,9,250,907
"06015",1,2,3,45
"06017",2,15,36,67
"06019",1,2,108,724
"06021",1,2,5,13
"06023",1,1,2,52
"06025",4,25,155,876
"06027",1,10,19,20
"06029",1,33,553,1438
"06031",1,5,52,688
"06033",2,5,8,30
"06037",1,1,1,799
"06039",1,1,30,54
"06041",1,1,65,223
"06045",1,2,4,13
"06047",1,16,94,251
"06051",2,18,24,34
"06053",2,24,108,317
"06055",1,1,7,61
"06057",1,4,34,41
"06059",1,1,1,152
"06061",1,7,67,147
"06063",1,3,4,4
"06065",1,14,799,4454
"06067",1,3,52,940
"06069",1,5,35,56
"06071",1,38,977,3153
"06073",1,1,2,1628
"06075",2,2,3,437
"06077",1,17,237,597
"06079",1,33,114,227
"06081",1,15,309,1177
"06083",1,24,284,1377
"06085",1,2,4,848
"06087",1,2,69,138
"06089",1,1,23,31
"06093",2,3,5,6
"06095",1,12,29,195
"06097",1,3,49,218
"06099",2,5,103,488
"06101",2,16,28,40
"06103",1,1,1,5
"06107",1,11,203,1140
"06109",1,1,4,4
"06111",1,19,263,652
"06113",1,2,33,171
"06115",2,6,16,28
"08001",2,14,543,2242
"08003",1,4,10,58
"08005",1,22,718,3089
"08007",1,6,8,8
"08009",1,9,10,12
"08013",1,39,264,788
"08014",1,17,101,213
"08015",2,15,38,69
"08019",1,3,11,14
"08023",1,3,3,3
"08025",1,1,2,39
"08027",1,2,2,2
"08029",1,1,25,61
"08031",2,28,769,3428
"08035",1,4,194,526
"08037",1,24,333,552
"08039",3,4,23,47
"08041",1,4,406,1005
"08043",1,2,19,26
"08045",1,10,58,112
"08047",1,1,1,5
"08049",1,2,4,5
"08051",1,13,98,173
"08053",1,1,3,3
"08055",1,1,1,3
"08059",1,9,440,1405
"08063",1,5,19,26
"08065",1,4,17,29
"08067",1,23,51,83
"08069",1,4,161,423
"08071",1,2,3,5
"08073",1,1,4,3
"08075",2,6,23,490
"08077",1,2,35,51
"08079",1,2,2,2
"08081",2,4,6,7
"08083",1,8,15,36
"08085",1,10,77,136
"08087",1,4,135,561
"08089",1,3,7,14
"08091",2,4,5,8
"08093",1,3,6,16
"08095",1,4,6,12
"08097",9,15,39,54
"08099",1,1,8,15
"08101",1,3,53,185
"08103",1,1,1,1
"08105",2,5,7,16
"08107",1,3,35,58
"08109",1,3,4,48
"08113",1,1,13,22
"08117",2,7,68,169
"08119",3,7,25,33
"08121",1,1,6,31
"08123",1,37,683,2159
"08125",1,2,2,12
"09001",1,48,3719,12455
"09003",1,61,1914,7528
"09005",1,11,346,1153
"09007",1,25,394,898
"09009",1,41,2946,9430
"09011",1,20,315,876
"09013",4,37,258,715
"09015",1,3,92,313
"10001",3,21,352,1176
"10003",1,28,701,2275
"10005",1,33,678,3565
"11001",1,22,998,5322
"12001",1,11,144,306
"12003",1,4,17,26
"12005",1,6,55,86
"12007",1,2,42,49
"12009",1,14,173,356
"12011",2,37,1765,5383
"12013",1,4,8,53
"12015",1,1,47,269
"12017",1,9,72,109
"12019",1,6,144,300
"12021",3,18,282,712
"12023",2,3,40,115
"12027",1,7,24,80
"12029",1,2,9,54
"12031",1,25,618,1164
"12033",1,17,247,671
"12035",1,18,76,169
"12037",1,2,2,2
"12039",1,2,68,254
"12041",1,4,6,19
"12043",1,4,6,24
"12045",1,1,1,1
"12047",1,2,7,255
"12049",1,3,18,93
"12051",1,9,65,337
"12053",4,14,83,109
"12055",1,14,70,107
"12057",1,2,272,1105
"12059",1,2,9,18
"12061",1,16,83,106
"12063",1,1,8,129
"12065",1,12,28,29
"12067",1,1,3,10
"12069",1,22,169,248
"12071",1,5,347,1137
"12073",1,15,164,275
"12075",1,4,13,29
"12077",1,2,196,218
"12079",2,14,55,69
"12081",1,2,42,567
"12083",2,23,121,224
"12085",1,26,147,321
"12086",1,124,5897,13840
"12087",1,23,73,99
"12089",1,1,29,60
"12091",1,1,61,160
"12093",1,5,11,76
"12095",1,32,922,1511
"12097",1,24,317,573
"12099",2,56,1429,3868
"12101",1,5,127,291
"12103",2,16,395,828
"12105",1,20,287,716
"12107",1,13,56,134
"12109",1,7,163,222
"12111",1,31,202,337
"12113",1,1,48,157
"12115",2,14,211,426
"12117",1,13,238,415
"12119",1,29,117,251
"12121",1,18,109,166
"12123",1,1,3,27
"12125",1,2,4,31
"12127",1,7,151,521
"12129",1,6,22,32
"12131",1,14,29,77
"12133",1,1,12,26
"13001",2,7,65,148
"13003",3,2,14,54
"13005",1,11,22,83
"13007",3,4,18,32
"13009",2,3,112,292
"13011",1,4,18,92
"13013",1,19,93,272
"13015",3,54,203,361
"13017",1,3,20,55
"13019",1,4,18,42
"13021",1,13,191,396
"13023",1,1,12,45
"13025",3,14,22,61
"13027",1,6,52,68
"13029",2,11,37,68
"13031",1,9,34,53
"13033",1,8,51,120
"13035",2,8,80,205
"13037",1,15,84,126
"13039",1,6,27,53
"13043",1,4,8,13
"13045",14,70,271,408
"13047",1,4,28,79
"13049",1,1,3,17
"13051",2,16,178,363
"13053",1,2,8,25
"13055",1,3,9,19
"13057",1,4,141,544
"13059",2,17,88,190
"13061",1,13,21,37
"13063",2,21,396,955
"13065",1,1,7,46
"13067",1,22,474,1887
"13069",1,11,83,210
"13071",1,28,158,280
"13073",1,10,87,205
"13075",1,4,20,48
"13077",2,9,106,280
"13079",1,9,18,28
"13081",3,21,130,210
"13083",1,2,14,28
"13085",1,4,43,84
"13087",1,16,61,145
"13089",2,18,673,2396
"13091",1,5,22,48
"13093",3,28,120,177
"13095",6,101,1245,1644
"13097",1,38,229,439
"13099",2,16,163,233
"13101",1,3,5,130
"13103",1,4,25,42
"13105",1,3,29,75
"13107",1,7,21,27
"13109",1,4,5,6
"13111",1,8,20,39
"13113",1,7,81,191
"13115",1,5,92,155
"13117",1,10,153,395
"13119",1,5,16,36
"13121",2,6,599,2821
"13123",1,4,57,148
"13127",2,7,46,75
"13129",2,4,33,124
"13131",1,13,63,94
"13133",1,8,50,63
"13135",1,5,410,2102
"13137",1,2,170,502
"13139",1,19,363,2125
"13141",1,6,110,196
"13143",1,10,26,36
"13145",1,3,44,78
"13147",1,3,6,26
"13149",1,1,7,17
"13151",1,7,254,610
"13153",1,10,158,313
"13155",1,5,15,23
"13157",1,13,69,147
"13159",1,2,18,31
"13161",1,2,22,38
"13163",1,4,14,33
"13165",1,4,16,18
"13167",1,13,39,82
"13169",1,6,24,33
"13171",1,3,24,41
"13173",1,5,8,21
"13175",2,9,39,94
"13177",1,13,217,339
"13179",1,7,34,60
"13181",1,3,9,13
"13183",1,1,2,12
"13185",1,7,53,184
"13187",1,4,23,83
"13189",1,6,39,62
"13191",1,3,4,16
"13193",1,2,59,96
"13195",1,3,17,32
"13197",1,10,42,57
"13199",1,9,48,78
"13201",1,4,20,36
"13205",4,40,280,397
"13207",1,3,15,95
"13209",2,2,4,14
"13211",1,2,23,34
"13213",2,10,24,81
"13215",1,9,218,440
"13217",1,6,93,262
"13219",1,11,48,80
"13221",1,5,49,60
"13223",1,6,115,236
"13225",1,6,32,69
"13227",2,5,18,38
"13229",1,7,51,85
"13231",1,9,39,52
"13233",1,1,18,60
"13235",1,5,17,38
"13237",1,5,40,90
"13239",1,3,5,12
"13241",2,6,12,20
"13243",1,3,141,169
"13245",1,11,169,490
"13247",1,17,117,249
"13249",1,10,16,16
"13251",1,5,15,50
"13253",2,6,27,42
"13255",2,12,126,242
"13257",2,5,42,122
"13259",1,4,23,52
"13261",2,15,314,419
"13263",1,7,22,38
"13267",1,2,5,13
"13269",1,2,14,21
"13271",2,9,28,37
"13273",2,10,146,199
"13275",1,26,158,309
"13277",1,13,82,185
"13279",1,5,26,50
"13281",1,3,20,24
"13283",1,1,3,13
"13285",1,7,68,192
"13287",1,2,51,84
"13289",1,2,4,10
"13291",1,6,33,44
"13293",2,13,196,275
"13295",1,4,60,138
"13297",2,23,95,217
"13299",1,17,100,206
"13301",2,6,12,18
"13303",1,4,28,72
"13305",1,5,13,20
"13307",1,3,10,12
"13309",1,1,3,9
"13311",1,3,36,93
"13313",1,6,32,177
"13315",1,5,88,109
"13317",1,3,22,32
"13319",1,8,35,69
"13321",2,10,119,197
"15001",1,5,41,76
"15003",1,4,266,400
"15007",2,3,21,21
"15009",1,11,86,117
"16001",1,13,521,739
"16003",1,1,3,3
"16005",2,4,8,17
"16011",1,1,3,6
"16013",2,21,455,506
"16017",1,3,4,4
"16019",1,6,28,33
"16025",1,1,1,1
"16027",1,40,187,276
"16029",1,1,1,1
"16031",1,3,12,22
"16037",1,2,2,2
"16039",1,14,30,31
"16043",1,1,2,3
"16045",1,7,12,17
"16047",1,5,12,47
"16049",1,2,3,3
"16051",2,3,5,7
"16053",1,19,48,161
"16055",3,13,50,66
"16057",1,3,5,7
"16059",1,1,1,2
"16063",1,12,22,32
"16065",1,2,8,18
"16067",1,3,11,45
"16069",1,13,55,81
"16073",1,2,8,9
"16075",1,5,11,23
"16077",2,2,2,7
"16081",1,2,6,11
"16083",1,2,100,318
"16085",1,2,2,2
"16087",1,1,1,38
"17001",1,2,31,42
"17003",1,2,8,17
"17005",1,3,5,10
"17007",3,13,144,481
"17011",1,3,9,15
"17013",1,1,1,1
"17015",1,4,9,13
"17017",2,29,66,79
"17019",2,26,95,472
"17021",1,19,25,32
"17023",1,4,5,11
"17025",1,2,2,2
"17027",1,3,38,142
"17029",1,9,22,138
"17031",1,2,2,922
"17033",1,4,10,11
"17035",1,1,2,6
"17037",1,8,55,268
"17039",1,2,3,4
"17041",1,9,12,27
"17043",1,95,1162,5121
"17049",1,3,6,7
"17051",1,3,16,20
"17053",1,5,10,20
"17055",1,1,8,12
"17057",2,1,3,12
"17059",1,2,2,2
"17061",2,1,4,6
"17063",1,5,26,84
"17065",1,2,2,2
"17067",1,3,10,17
"17069",1,1,1,1
"17071",1,4,8,8
"17073",1,8,36,67
"17075",1,5,16,130
"17077",1,1,39,181
"17079",2,3,45,46
"17081",1,9,86,101
"17083",1,6,13,24
"17085",1,1,12,22
"17087",1,3,4,14
"17089",1,6,296,2668
"17091",1,17,252,893
"17093",3,8,119,559
"17095",1,1,36,94
"17097",1,52,1124,5199
"17099",1,3,25,121
"17101",2,2,3,4
"17103",2,14,25,82
"17105",1,3,17,28
"17107",1,3,7,10
"17109",1,3,49,92
"17111",1,6,180,897
"17113",4,14,83,186
"17115",1,9,102,188
"17117",1,14,31,45
"17119",1,8,151,481
"17121",2,4,28,50
"17123",1,1,4,5
"17125",1,3,13,18
"17127",1,2,4,7
"17129",1,2,4,17
"17131",1,2,8,17
"17133",1,3,55,90
"17135",1,2,23,39
"17137",1,5,14,34
"17139",1,3,5,11
"17141",1,14,111,211
"17143",1,4,31,151
"17145",1,1,38,42
"17147",1,6,7,11
"17149",1,1,1,1
"17153",4,9,25,61
"17157",2,31,126,267
"17159",1,1,3,4
"17161",1,11,211,600
"17163",2,4,189,771
"17165",1,2,3,7
"17167",2,4,43,286
"17169",1,1,5,13
"17173",2,4,10,16
"17175",1,1,1,3
"17177",1,3,12,161
"17179",2,10,34,67
"17181",3,7,113,172
"17183",1,7,17,39
"17185",1,1,1,6
"17187",1,15,102,127
"17189",1,1,4,17
"17191",1,2,8,9
"17193",1,2,2,3
"17195",1,1,28,112
"17197",1,50,1350,4090
"17199",1,1,12,52
"17201",1,5,99,1208
"17203",1,2,7,15
"18001",1,1,2,8
"18003",1,27,296,1040
"18005",1,5,112,387
"18007",2,4,13,33
"18009",1,5,8,26
"18011",1,1,77,228
"18013",1,3,14,33
"18015",1,3,9,92
"18017",1,17,1127,1591
"18019",1,12,144,406
"18021",1,7,19,41
"18023",1,4,31,216
"18025",1,6,17,24
"18027",2,12,54,97
"18029",2,22,72,161
"18031",6,60,181,230
"18033",1,3,15,29
"18035",1,15,110,297
"18037",1,3,16,168
"18039",1,12,152,738
"18041",1,3,20,69
"18043",1,6,111,251
"18045",1,2,9,17
"18047",2,13,75,111
"18049",1,2,10,47
"18051",2,4,5,13
"18053",1,7,56,197
"18055",1,11,48,172
"18057",1,25,491,970
"18059",1,28,144,304
"18061",1,15,87,175
"18063",1,3,197,899
"18065",1,11,33,162
"18067",1,5,43,243
"18069",1,4,6,26
"18071",1,19,98,355
"18073",1,13,28,53
"18075",1,4,16,52
"18077",1,10,27,44
"18079",1,6,65,114
"18081",3,4,248,805
"18083",2,9,20,26
"18085",1,12,28,88
"18087",2,4,21,61
"18089",2,31,880,2773
"18091",1,2,33,335
"18093",1,13,84,142
"18095",1,9,291,547
"18097",1,6,1572,6375
"18099",1,4,25,64
"18101",1,5,7,12
"18103",1,3,22,132
"18105",1,30,114,154
"18107",1,10,27,203
"18109",1,32,120,258
"18111",1,4,47,75
"18113",1,1,11,125
"18115",1,1,2,13
"18117",1,5,56,126
"18119",1,7,21,27
"18121",1,7,15,22
"18123",3,6,23,55
"18125",1,1,3,6
"18127",1,35,197,466
"18129",1,5,8,17
"18131",1,1,29,50
"18133",1,7,51,131
"18135",1,5,15,61
"18137",1,31,82,107
"18139",1,8,22,59
"18141",1,6,153,792
"18143",1,1,24,102
"18145",1,12,105,403
"18147",1,2,8,23
"18149",1,2,12,31
"18151",1,9,21,80
"18153",1,3,10,31
"18155",1,11,15,20
"18157",1,11,53,304
"18159",1,4,13,21
"18161",2,9,13,22
"18163",1,17,80,222
"18165",1,2,7,10
"18167",1,7,52,119
"18169",1,3,19,72
"18171",1,2,11,13
"18173",1,8,69,159
"18175",1,6,29,50
"18177",1,1,22,170
"18179",1,1,4,12
"18181",1,3,26,226
"18183",1,6,16,39
"19001",1,1,1,4
"19005",2,6,23,113
"19007",1,1,2,12
"19009",1,1,1,12
"19011",2,7,24,37
"19013",1,5,85,1548
"19015",1,3,7,55
"19017",1,3,51,70
"19019",1,3,11,31
"19021",1,2,16,1091
"19023",1,1,4,15
"19027",1,1,1,6
"19029",1,1,1,13
"19031",1,11,27,44
"19033",2,7,14,20
"19035",1,2,10,65
"19037",1,2,6,13
"19039",1,2,3,64
"19041",1,2,3,13
"19043",1,3,9,30
"19045",1,16,47,60
"19047",1,6,19,495
"19049",1,6,37,712
"19055",1,2,8,19
"19057",1,1,15,54
"19059",1,1,5,9
"19061",1,12,40,264
"19065",1,2,6,25
"19069",1,1,5,18
"19073",1,1,11,15
"19075",1,1,15,20
"19077",1,1,6,46
"19079",1,2,7,45
"19081",2,3,3,10
"19083",1,1,5,13
"19085",1,3,12,17
"19087",1,3,28,47
"19089",1,1,10,12
"19091",1,4,7,39
"19095",1,6,16,33
"19097",1,4,5,12
"19099",1,7,53,250
"19101",1,4,6,29
"19103",3,18,118,530
"19105",1,6,19,36
"19107",1,2,2,14
"19109",1,1,1,7
"19111",1,2,13,27
"19113",3,71,397,899
"19115",1,76,277,346
"19119",1,3,13,24
"19121",1,1,5,28
"19123",1,3,8,85
"19125",1,3,12,35
"19127",1,10,345,870
"19129",1,2,3,19
"19131",2,2,2,4
"19133",1,6,7,24
"19137",1,1,1,6
"19139",1,10,163,532
"19141",2,3,9,31
"19143",1,3,19,41
"19145",1,2,5,10
"19149",1,4,17,134
"19151",1,3,6,46
"19153",1,17,195,2551
"19155",1,1,9,71
"19157",1,5,13,89
"19163",1,18,172,320
"19165",1,6,9,32
"19167",1,4,7,177
"19169",1,2,18,81
"19171",3,11,198,374
"19173",1,1,1,41
"19175",1,1,1,11
"19177",1,6,8,9
"19179",1,1,7,450
"19181",1,6,18,99
"19183",1,11,106,170
"19187",1,1,4,27
"19189",1,2,3,11
"19191",1,2,5,18
"19193",1,4,44,2406
"19195",1,1,1,3
"19197",1,1,2,123
"20005",1,2,9,20
"20007",1,1,1,1
"20009",1,4,9,45
"20011",1,3,6,7
"20015",1,3,8,18
"20017",1,1,3,3
"20019",1,3,4,4
"20021",1,2,7,8
"20025",1,1,31,34
"20027",1,1,4,5
"20029",1,3,4,5
"20031",1,24,48,50
"20035",1,2,3,5
"20037",1,6,6,6
"20041",1,1,2,6
"20043",1,1,3,11
"20045",1,13,41,58
"20047",1,4,5,6
"20051",1,4,9,12
"20055",1,10,202,1458
"20057",1,1,32,1299
"20059",1,1,12,29
"20061",2,10,13,22
"20063",1,1,1,1
"20067",1,7,18,24
"20069",1,5,21,24
"20073",1,1,3,8
"20075",1,1,10,25
"20079",1,2,5,15
"20081",1,7,16,22
"20085",1,1,1,33
"20087",1,2,8,21
"20089",1,3,4,4
"20091",1,8,192,513
"20093",1,2,30,46
"20097",1,1,2,3
"20099",1,11,22,22
"20103",2,12,114,958
"20107",1,4,6,6
"20111",2,12,110,375
"20113",1,9,20,27
"20115",1,3,5,7
"20119",1,10,24,30
"20121",1,2,5,7
"20123",1,3,2,3
"20125",3,9,16,20
"20127",2,2,2,3
"20129",1,1,3,6
"20133",1,1,2,3
"20139",1,3,5,7
"20141",1,2,2,2
"20143",1,3,3,4
"20147",1,1,1,2
"20149",1,2,6,24
"20151",1,1,1,2
"20155",1,7,14,51
"20157",1,4,4,4
"20159",1,3,4,4
"20161",1,2,27,62
"20163",1,3,6,8
"20169",1,7,20,29
"20171",1,2,2,14
"20173",1,33,231,535
"20175",1,10,626,891
"20177",3,24,98,254
"20179",1,2,2,3
"20181",1,3,5,7
"20183",1,2,2,2
"20185",1,1,1,1
"20187",1,3,7,9
"20189",1,1,7,28
"20191",1,2,3,6
"20197",1,1,25,31
"20205",1,1,1,1
"20207",1,3,5,6
"20209",1,13,300,1110
"21001",3,44,81,97
"21003",1,1,4,43
"21005",1,2,7,13
"21007",1,4,8,13
"21009",1,3,16,45
"21011",1,2,4,9
"21015",2,6,98,401
"21017",1,2,4,8
"21019",4,20,33,39
"21021",1,8,18,22
"21023",1,1,7,11
"21025",1,2,3,3
"21027",2,2,8,16
"21029",2,12,43,104
"21031",1,1,104,224
"21033",1,9,13,12
"21035",1,3,21,46
"21037",2,27,73,149
"21039",1,2,5,5
"21041",1,2,2,7
"21043",1,3,6,14
"21045",1,1,1,10
"21047",1,6,81,97
"21049",1,3,18,20
"21051",1,1,2,23
"21053",1,2,3,4
"21055",1,3,4,6
"21057",1,3,5,5
